segment,n_treatment_customers,did_eligible_spend_per_cust,eligible_p_value,eligible_significant_5pct,eligible_lift_pct,incremental_eligible_spend,incremental_eligible_spend_ci_low,incremental_eligible_spend_ci_high,halo_spend,counterfactual_eligible_spend,promotion_cost,cashback_rate,contribution_margin,incremental_margin,net_benefit,roi,roi_ci_low,roi_ci_high,roi_with_halo,net_benefit_with_halo,breakeven_eligible_spend,breakeven_eligible_lift_pct,recommended_target,verdict
Affluent Frequent,920,155.73297712964694,6.075646990769418e-07,True,0.2069373441438448,143274.3389592752,86985.70905772406,199562.96886082628,62447.77823529773,692356.1310407239,25069.24,0.03,0.25,35818.5847398188,10749.344739818796,0.42878622326878657,-0.1325454116506518,0.9901178581882246,1.051539228897375,26361.28929864323,100276.96,0.1448343641433021,True,"Significant lift, clearly positive ROI - target / expand"
Digital Native,802,81.2262002715714,2.0524755092085986e-07,True,0.2452249729378285,65143.41261780026,40563.91022641695,89722.91500918358,84127.94065444825,265647.54738219903,9923.67,0.03,0.25,16285.853154450066,6362.183154450066,0.6411119227513677,0.02189790234905404,1.2603259431536815,2.7604876339158935,27394.168318062133,39694.68,0.14942611136887135,True,"Significant lift, clearly positive ROI - target / expand"
Mainstream,1509,20.56223388133081,0.0087159042047029,True,0.1012581786019685,31028.41092692819,7843.29959538903,54213.522258467354,85507.64504736033,306428.6890730719,10123.63,0.03,0.25,7757.102731732048,-2366.5272682679515,-0.23376271833995826,-0.8063120739450911,0.3387866372651746,1.877822875151713,19010.383993572133,40494.52,0.1321498979827687,False,Significant lift but negative ROI at this cashback rate - do not expand
Budget Occasional,1163,5.7519730902613055,0.0293416547504726,True,0.1210680132397449,6689.544703973898,672.0708590618024,12707.018548885995,-10589.017218167697,55254.43529602594,1858.61,0.03,0.25,1672.3861759934746,-186.22382400652532,-0.1001952125548261,-0.9096003385511481,0.7092099134414961,-0.1001952125548261,-186.22382400652532,7434.44,0.13454919881399469,False,Significant lift but negative ROI at this cashback rate - do not expand
Dormant Reactivation,632,0.2451717865596349,0.9287836441673862,False,0.0088875493072032,154.94856910568924,-3243.0101360114436,3552.9072742228227,-12563.262243902253,17434.341430894307,527.75,0.03,0.25,38.73714227642231,-489.01285772357767,-0.9265994461839463,-2.536243550929154,0.6830446585612614,-0.9265994461839463,-489.01285772357767,2111.0,0.1210828644355461,False,No statistically reliable lift - cashback would fund inframarginal spend
